Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BP0115,argS,1788,2,1,1,0.00112,1.4542,arginyl-tRNA synthetase,macromolecule synthesis/modification,Cytoplasmic,
BP0944,b2231,2682,3,2,1,0.00112,1.4506,DNA gyrase subunit A,macromolecule synthesis/modification,Cytoplasmic,
BP1658,-,1794,2,1,2,0.00111,1.4537,probable two-component sensor histidine kinase,regulation,Cytoplasmic Membrane,
BP1762,-,897,1,0,1,0.00111,1.4408,putative adenine-specific methylase,miscellaneous,Cytoplasmic,
BP2433,lepA,1794,2,2,0,0.00111,1.4529,GTP-binding protein,miscellaneous,Cytoplasmic Membrane,
BP3556,-,897,1,0,1,0.00111,1.4400,bacteriophage-related DNA polymerase,unknown,Unknown,
BP2369,acn,2694,3,1,2,0.00111,1.4482,aconitate hydratase,energy metabolism,ND,
BP1129,-,899,1,1,0,0.00111,1.4400,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP0057,-,900,1,0,1,0.00111,1.4400,amino-acid ABC transporter binding protein precursor,transport/binding proteins,Periplasmic,
BP0563,-,900,1,0,1,0.00111,1.4392,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2190,hflC,900,1,1,0,0.00111,1.4384,putative inner membrane-anchored protein,cell surface,Unknown,
BP2561,-,900,1,0,1,0.00111,1.4375,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3003,-,900,1,1,0,0.00111,1.4367,putative membrane protein,conserved hypothetical,Unknown,
BP2014,acnA,2706,3,2,1,0.00111,1.4408,putative aconitate hydratase,energy metabolism,Cytoplasmic,+
BP0168,-,903,1,1,0,0.00111,1.4384,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0869,pepN,2709,3,1,2,0.00111,1.4406,aminopeptidase N,macromolecule degradation,Unknown,
BP1814,-,903,1,1,0,0.00111,1.4376,probable GntR-family transcriptional regulator,regulation,Cytoplasmic,
BP2026,-,903,1,1,0,0.00111,1.4367,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2689,-,903,1,0,1,0.00111,1.4359,putative ATP/GTP-binding protein,miscellaneous,Cytoplasmic,
BP2878,-,903,1,0,1,0.00111,1.4351,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP3835,-,3613,4,3,1,0.00111,1.4284,putative pyruvate ferredoxin/flavodoxin oxidoreductase (pseudogene),pseudogenes (phase-variable),ND,
BP1254,polA,2715,3,1,2,0.00110,1.4411,DNA polymerase I,macromolecule synthesis/modification,Cytoplasmic,
BP0967,cysT,906,1,0,1,0.00110,1.4368,sulfate transport system permease protein (Pseudogene),pseudogenes,ND,+
BP1191,-,906,1,1,0,0.00110,1.4360,putative RNA polymerase sigma factor,macromolecule synthesis/modification,Cytoplasmic,
BP1531,-,906,1,0,1,0.00110,1.4351,putative arginase,small molecule degradation,Cytoplasmic,
BP1590,-,906,1,1,0,0.00110,1.4343,probable transcriptional regulator,regulation,Cytoplasmic,+
BP1601,-,906,1,1,0,0.00110,1.4335,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2125,-,906,1,0,1,0.00110,1.4327,putative lysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2857,-,906,1,1,0,0.00110,1.4319,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP3287,atpG,906,1,1,0,0.00110,1.4311,ATP synthase gamma chain,energy metabolism,Cytoplasmic,
BP0556,hmgcL,909,1,0,1,0.00110,1.4319,hydroxymethylglutaryl-CoA lyase,small molecule degradation,Cytoplasmic,
BP3403,-,909,1,0,1,0.00110,1.4311,putative UTP--glucose-1-phosphate uridylyltransferase,miscellaneous,Cytoplasmic,
BP3833,-,909,1,0,1,0.00110,1.4303,putative permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP1242,-,912,1,0,1,0.00110,1.4311,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,-
BP1348,citE,912,1,0,1,0.00110,1.4303,putative citrate lyase beta chain,central/intermediary metabolism,Cytoplasmic,
BP2310,hemF,912,1,0,1,0.00110,1.4295,coproporphyrinogen III oxidase,cofactor biosynthesis,Cytoplasmic,
BP3014,azi,2736,3,2,1,0.00110,1.4325,preprotein translocase secA subunit,transport/binding proteins,Cytoplasmic,
BP3074,dapF,912,1,1,0,0.00110,1.4287,diaminopimelate epimerase,amino acid biosynthesis,Cytoplasmic,
BP0964,-,1827,2,1,1,0.00109,1.4419,probable acyl-CoA dehydrogenase,miscellaneous,Cytoplasmic,
BP0872,-,1829,2,1,1,0.00109,1.4398,"ABC transporter, ATP-binding protein",transport/binding proteins,Cytoplasmic Membrane,
BP1652,-,915,1,0,1,0.00109,1.4295,putative oxidoreductase (Partial),miscellaneous,Cytoplasmic,
BP2497,-,2751,3,1,2,0.00109,1.4307,putative zinc protease,macromolecule degradation,Outer Membrane,+
BP0419,-,918,1,1,0,0.00109,1.4303,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1360,-,918,1,1,0,0.00109,1.4295,putative ketopantoate reductase,ribonucleotide biosynthesis,Cytoplasmic,
BP0135,-,921,1,1,0,0.00109,1.4303,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP0302,-,921,1,1,0,0.00109,1.4295,"probable branched-chain amino acid transport system, permease component",transport/binding proteins,Cytoplasmic Membrane,-
BP1507,-,921,1,0,1,0.00109,1.4287,putative extracellular solute-binding protein,transport/binding proteins,Periplasmic,
BP2419,-,921,1,0,1,0.00109,1.4279,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP0632,-,1848,2,0,2,0.00108,1.4313,C-terminus truncated putative pimeloyl-CoA synthetase (Pseudogene),pseudogenes,ND,
BP0960,-,924,1,1,0,0.00108,1.4279,histone deacetylase family protein,miscellaneous,Cytoplasmic,
BP2178,-,924,1,1,0,0.00108,1.4271,"putative ABC transporter, ATP-binding subunit",transport/binding proteins,Cytoplasmic Membrane,
BP3856,-,924,1,0,1,0.00108,1.4263,putative taurine catabolism dioxygenase,small molecule degradation,Cytoplasmic,
BP0783,-,927,1,0,1,0.00108,1.4278,putative dioxygenase,miscellaneous,Cytoplasmic,
BP1115,-,927,1,1,0,0.00108,1.4271,probable hydrolase,miscellaneous,Unknown,
BP1276,livH,927,1,0,1,0.00108,1.4263,"high-affinity branched-chain amino acid transport system, permease protein",transport/binding proteins,Cytoplasmic Membrane,-
BP2333,-,927,1,0,1,0.00108,1.4255,putative dioxygenase,miscellaneous,Cytoplasmic Membrane,
BP3804,-,927,1,0,1,0.00108,1.4247,putative transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP0354,-,929,1,0,1,0.00108,1.4246,probable ornithine cyclodeaminase,miscellaneous,Cytoplasmic,
BP0289,ilvD,1860,2,2,0,0.00108,1.4301,dihydroxy-acid dehydratase,amino acid biosynthesis,Cytoplasmic,
BP2685,paaX,930,1,1,0,0.00108,1.4246,phenylacetic acid degradation operon negative regulatory protein,regulation,Cytoplasmic,
BP3015,-,930,1,1,0,0.00108,1.4238,putative peptidase family M23/M37 protein,cell surface,Outer Membrane,
BP2138,-,1863,2,2,0,0.00107,1.4278,putative ABC-transporter membrane-spanning ATP-binding component,transport/binding proteins,Cytoplasmic Membrane,
BP2798,dxs,1863,2,1,1,0.00107,1.4270,1-deoxy-D-xylulose 5-phosphate synthase,cofactor biosynthesis,Cytoplasmic,
BP0144,-,933,1,0,1,0.00107,1.4254,putative lipase,miscellaneous,Cytoplasmic,
BP0217,-,933,1,0,1,0.00107,1.4246,3-hydroxybutyryl-CoA dehydrogenase,small molecule degradation,Cytoplasmic,-
BP0344,bhuU,936,1,0,1,0.00107,1.4253,putative hemin permease,adaptation,Cytoplasmic Membrane,
BP1180,-,936,1,0,1,0.00107,1.4245,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2321,-,1872,2,1,1,0.00107,1.4249,putative ABC transporter,transport/binding proteins,Cytoplasmic Membrane,
BP2428,-,936,1,0,1,0.00107,1.4238,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2442,fabD,936,1,0,1,0.00107,1.4230,malonyl CoA-acyl carrier protein transacylase,fatty acid metabolism,Unknown,
BP3080,-,936,1,1,0,0.00107,1.4222,putative periplasmic solute binding protein,cell surface,Cytoplasmic Membrane,+
BP3271,-,936,1,0,1,0.00107,1.4214,putative 2-hydroxyacid dehydrogenase,miscellaneous,Cytoplasmic,
BP0230,-,937,1,1,0,0.00107,1.4214,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP0390,-,939,1,0,1,0.00106,1.4213,putative tetrapyrrole methylase,miscellaneous,Unknown,
BP0551,fmt,939,1,1,0,0.00106,1.4206,methionyl-tRNA formyltransferase,macromolecule synthesis/modification,Cytoplasmic,
BP1011,cbpA,939,1,1,0,0.00106,1.4198,curved DNA-binding protein,cell processes,Cytoplasmic,+
BP2337,-,1881,2,1,1,0.00106,1.4251,putative phospholipase,miscellaneous,Extracellular,
BP0243,miaA,942,1,1,0,0.00106,1.4213,tRNA delta(2)-isopentenylpyrophosphate transferase,macromolecule synthesis/modification,Unknown,
BP1640,-,942,1,0,1,0.00106,1.4205,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2253,bopD,942,1,0,1,0.00106,1.4197,putative outer protein D,virulence-associated genes,Unknown,+
BP1077,ftsH,1887,2,1,1,0.00106,1.4221,cell division protein,cell division,Cytoplasmic Membrane,
BP0644,-,944,1,0,1,0.00106,1.4205,putative dihydrodipicolinate synthase,miscellaneous,Cytoplasmic,
BP0538,-,945,1,0,1,0.00106,1.4204,arginase,small molecule degradation,Cytoplasmic,
BP1599,-,945,1,0,1,0.00106,1.4196,LysR-family transcriptional regulator,regulation,Cytoplasmic,+
BP2537,HemC,945,1,1,0,0.00106,1.4189,porphobilinogen deaminase,cofactor biosynthesis,Cytoplasmic,
BP1657,-,948,1,0,1,0.00105,1.4203,putative exported protein (Pseudogene),pseudogenes,Unknown,
BP3523,-,948,1,0,1,0.00105,1.4196,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0232,-,951,1,1,0,0.00105,1.4203,probable oxidoreductase (Pseudogene),pseudogenes,ND,
BP1670,-,951,1,0,1,0.00105,1.4195,putative hydrolase,miscellaneous,Cytoplasmic,
BP1703,-,1902,2,0,2,0.00105,1.4200,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2284,-,951,1,1,0,0.00105,1.4187,conserved hypothetical integral membrane protein,cell surface,Cytoplasmic Membrane,
BP3125,prs,951,1,0,1,0.00105,1.4179,ribose-phosphate pyrophosphokinase,ribonucleotide biosynthesis,Cytoplasmic,
BP3240,uvrA2,5718,6,2,4,0.00105,1.3916,putative excinuclease ABC subunit,macromolecule synthesis/modification,Cytoplasmic,
BP3660,uvrA,2859,3,1,2,0.00105,1.4011,excinuclease ABC subunit A,macromolecule synthesis/modification,Cytoplasmic,
BP0074,htpG,1908,2,1,1,0.00105,1.4194,heat shock protein,cell processes,Cytoplasmic,+
BP1613,-,954,1,0,1,0.00105,1.4186,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1925,-,954,1,0,1,0.00105,1.4178,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2425,-,954,1,0,1,0.00105,1.4171,putative exported protein,cell surface,Periplasmic,
BP2523,-,954,1,1,0,0.00105,1.4163,putative exported protein,cell surface,Unknown,
BP0237,-,957,1,0,1,0.00104,1.4177,putative exported protein,cell surface,Periplasmic,
BP1820,-,957,1,0,1,0.00104,1.4170,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP0880,-,2873,3,2,1,0.00104,1.4010,putative exported protein (Pseudogene),pseudogenes (phase-variable),ND,
BP0833,-,958,1,0,1,0.00104,1.4169,conserved hypothetical protein (Pseudogene),pseudogenes (phase-variable),ND,
BP0615,-,960,1,1,0,0.00104,1.4176,putative exported protein,cell surface,Unknown,
BP1750,-,960,1,0,1,0.00104,1.4169,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2474,trxB,960,1,1,0,0.00104,1.4161,thioredoxin reductase,central/intermediary metabolism,Unknown,
BP1910,accA,962,1,0,1,0.00104,1.4168,acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,fatty acid metabolism,Cytoplasmic,
BP0650,-,963,1,1,0,0.00104,1.4167,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1137,fecR,963,1,1,0,0.00104,1.4160,putative signal transduction protein,regulation,Periplasmic,
BP1147,rluD,963,1,1,0,0.00104,1.4152,ribosomal large subunit pseudouridine synthase D,macromolecule synthesis/modification,Cytoplasmic,
BP1206,-,963,1,1,0,0.00104,1.4144,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1675,-,963,1,0,1,0.00104,1.4137,putative exported protein,cell surface,Periplasmic,
BP3183,-,1926,2,0,2,0.00104,1.4103,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP3719,-,963,1,0,1,0.00104,1.4129,branched-chain amino acid transport system permease,transport/binding proteins,Cytoplasmic Membrane,
BP0434,-,964,1,1,0,0.00104,1.4129,putative exported protein (Pseudogene),pseudogenes (phase-variable),ND,
BP1472,fdhA,2892,3,1,2,0.00104,1.3962,formate dehydrogenase large subunit precursor,energy metabolism,Periplasmic,
BP0751,cel,966,1,0,1,0.00104,1.4136,octaprenyl-diphosphate synthase,cofactor biosynthesis,Cytoplasmic,
BP1754,ribF,966,1,1,0,0.00104,1.4128,riboflavin biosynthesis protein,cofactor biosynthesis,Cytoplasmic,
BP1891,-,966,1,0,2,0.00104,1.4120,putative exported protein,cell surface,Periplasmic,
BP3454,-,966,1,1,0,0.00104,1.4113,putative lipoprotein,cell surface,Periplasmic,
BP3707,-,966,1,0,1,0.00104,1.4105,putative exported protein,cell surface,Periplasmic,-
BP1641,-,969,1,0,1,0.00103,1.4111,putative regulatory protein,regulation,Cytoplasmic,
BP1643,-,969,1,0,1,0.00103,1.4104,putative exported protein,cell surface,Unknown,
BP3674,-,969,1,0,1,0.00103,1.4096,periplasmic solute-binding protein,transport/binding proteins,Unknown,
BP3724,-,969,1,0,1,0.00103,1.4089,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0418,-,972,1,0,1,0.00103,1.4102,putative exported protein,cell surface,Periplasmic,
BP0612,-,972,1,1,0,0.00103,1.4095,putative exported protein,cell surface,Unknown,
BP0629,pdhA,972,1,1,0,0.00103,1.4087,"putative pyruvate dehydrogenase E1 component, alpha subunit",miscellaneous,Cytoplasmic,-
BP1667,-,972,1,1,0,0.00103,1.4080,putative exported protein,cell surface,Periplasmic,
BP1685,-,972,1,1,0,0.00103,1.4072,putative exported protein,cell surface,Periplasmic,
BP2653,-,972,1,0,1,0.00103,1.4065,putative exported protein,cell surface,Periplasmic,
BP3673,-,972,1,0,1,0.00103,1.4057,LysR-family transcriptional regulator,regulation,Unknown,
BP0927,-,975,1,0,1,0.00103,1.4071,putative exported protein,cell surface,Periplasmic,
BP0935,-,975,1,0,1,0.00103,1.4063,putative exported protein,cell surface,Unknown,
BP2129,-,975,1,0,1,0.00103,1.4056,putative araC-family transcriptional regulator,regulation,Cytoplasmic,
BP2149,-,975,1,1,0,0.00103,1.4048,putative araC-family transcriptional regulator,regulation,Cytoplasmic,-
BP2167,-,975,1,0,1,0.00103,1.4041,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2352,-,975,1,1,0,0.00103,1.4033,putative periplasmic substrate-binding transport protein,transport/binding proteins,Periplasmic,-
BP3515,-,975,1,1,0,0.00103,1.4026,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1271,-,976,1,1,0,0.00102,1.4025,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP1984,-,978,1,1,0,0.00102,1.4032,putative oligopeptide transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,+
BP2616,-,978,1,1,0,0.00102,1.4024,"ABC transport protein, periplasmic component",transport/binding proteins,Periplasmic,
BP0125,-,980,1,1,0,0.00102,1.4031,"probable ABC transporter, ATP-binding protein (Pseudogene)",pseudogenes,ND,
BP2877,-,980,1,0,1,0.00102,1.4023,putative exported protein (pseudogene),pseudogenes,ND,
BP0151,-,981,1,0,1,0.00102,1.4023,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0215,ppc,2943,3,1,2,0.00102,1.3923,phosphoenolpyruvate carboxylase,energy metabolism,Cytoplasmic Membrane,
BP0861,-,981,1,0,1,0.00102,1.4015,putative exported protein,cell surface,Periplasmic,
BP3136,-,1962,2,2,0,0.00102,1.3978,putative sulfatase,miscellaneous,Cytoplasmic Membrane,+
BP1131,-,984,1,1,0,0.00102,1.4021,putattive exported protein,cell surface,Cytoplasmic Membrane,
BP1920,-,984,1,1,0,0.00102,1.4014,putative exported protein,cell surface,Periplasmic,
BP1612,recG,1971,2,2,0,0.00101,1.3956,ATP-dependent DNA helicase,macromolecule synthesis/modification,Cytoplasmic,
BP0433,-,987,1,0,1,0.00101,1.4027,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1864,-,987,1,0,1,0.00101,1.4020,putative exported protein,cell surface,Periplasmic,
BP2895,-,987,1,0,1,0.00101,1.4012,putative exported protein,cell surface,Unknown,
BP3642,rpoA,987,1,1,0,0.00101,1.4005,DNA-directed RNA polymerase alpha chain,macromolecule synthesis/modification,Cytoplasmic,
BP3670,-,987,1,1,0,0.00101,1.3998,putative exported protein,cell surface,Periplasmic,
BP3362,-,3957,4,1,3,0.00101,1.3901,phage-related conserved hypothetical protein,phage-related or transposon-related,Cytoplasmic Membrane,
BP0701,-,990,1,1,0,0.00101,1.4003,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0807,-,990,1,1,0,0.00101,1.3996,putative exported protein,cell surface,Unknown,
BP0955,htrM,990,1,0,1,0.00101,1.3989,ADP-L-glycero-D-manno-heptose-6-epimerase,macromolecule synthesis/modification,Cytoplasmic,
BP2684,paaA,990,1,0,1,0.00101,1.3981,phenylacetic acid degradation protein,small molecule degradation,Cytoplasmic,
BP2943,-,990,1,0,1,0.00101,1.3974,putative exported protein,cell surface,Cytoplasmic Membrane,
BP3245,-,990,1,0,1,0.00101,1.3966,putative conserved membrane protein,cell surface,Unknown,-
BP1322,-,2972,3,0,3,0.00101,1.3926,two-component sensor histidine kinase (Pseudogene),pseudogenes,ND,-
BP0633,-,993,1,0,1,0.00101,1.3972,putative exported protein,cell surface,Periplasmic,
BP3700,-,993,1,0,1,0.00101,1.3965,putative exported protein,cell surface,Periplasmic,
BP1787,-,995,1,0,1,0.00101,1.3971,putative acyl-CoA dehydrogenase (Pseudogene),pseudogenes (phase-variable),ND,
BP3379,-,995,1,0,1,0.00101,1.3964,phage-related conserved hypothetical protein (pseudogene),unknown,ND,+
BP0334,-,996,1,0,1,0.00100,1.3963,putative exported protein,cell surface,Periplasmic,
BP1358,-,996,1,1,0,0.00100,1.3956,putative exported protein,cell surface,Unknown,-
BP1247,infB,2994,3,1,2,0.00100,1.3893,translation initiation factor IF-2,macromolecule synthesis/modification,Cytoplasmic,
BP1708,-,999,1,0,1,0.00100,1.3969,putative exported protein,cell surface,Unknown,+
BP3572,-,999,1,1,0,0.00100,1.3961,putative solute-binding periplasmic protein,transport/binding proteins,Periplasmic,
BP2730,-,2001,2,1,1,0.00100,1.3953,cytochrome ubiquinol oxidase subunit I,energy metabolism,Cytoplasmic Membrane,
BP3335,-,2001,2,2,0,0.00100,1.3946,N-terminal region of putative oxidoreductase (pseudogene),pseudogenes,ND,
BP0204,-,1002,1,0,1,0.00100,1.3959,putative restriction endonuclease,macromolecule synthesis/modification,Cytoplasmic,
BP2055,-,1002,1,0,1,0.00100,1.3952,putative periplasmic substrate-binding protein,transport/binding proteins,Periplasmic,-
BP1240,-,1005,1,0,1,0.00100,1.3965,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,-
BP2504,-,1005,1,0,1,0.00100,1.3957,heat-inducible transcription repressor,regulation,Cytoplasmic,
BP3708,-,1005,1,0,1,0.00100,1.3950,putative zinc-binding dehydrogenase,miscellaneous,Cytoplasmic,-
BP3867,-,1005,1,1,0,0.00100,1.3943,putative exported protein,cell surface,Periplasmic,-
BP0128,-,1011,1,1,0,0.00099,1.3975,probable periplasmic solute-binding protein,transport/binding proteins,Periplasmic,
BP0362,-,1011,1,1,0,0.00099,1.3968,"CDP-6-deoxy-delta-3,4-glucoseen reductase",cell surface,Cytoplasmic,
BP0449,FabG,2022,2,0,2,0.00099,1.3935,biotin carboxylase subunit of acetyl-CoA carboxylase,fatty acid metabolism,Cytoplasmic,
BP1394,CheC2,1011,1,1,0,0.00099,1.3961,flagellar motor switch protein FliM,cell processes,Cytoplasmic Membrane,
BP2230,-,2022,2,0,2,0.00099,1.3927,putative regulator,regulation,Cytoplasmic Membrane,+
